time,s4
7.29,0.8725885
7.3,0.878193
7.31,0.8837102
7.32,0.8891395
7.33,0.8944805
7.34,0.8997326
7.35,0.9048953
7.36,0.909968
7.37,0.9149502
7.38,0.9198414
7.39,0.9246411
7.4,0.9293488
7.41,0.933964
7.42,0.9384864
7.43,0.9429153
7.44,0.9472504
7.45,0.9514912
7.46,0.9556372
7.47,0.9596881
7.48,0.9636435
7.49,0.9675029
7.5,0.9712659
7.51,0.9749322
7.52,0.9785013
7.53,0.981973
7.54,0.9853468
7.55,0.9886224
7.56,0.9917995
7.57,0.9948777
7.58,0.9978567
7.59,1.000736
7.6,1.003516
7.61,1.006196
7.62,1.008775
7.63,1.011254
7.64,1.013632
7.65,1.015908
7.66,1.018084
7.67,1.020157
7.68,1.022129
7.69,1.023999
7.7,1.025767
7.71,1.027432
7.72,1.028995
7.73,1.030455
7.74,1.031812
7.75,1.033066
7.76,1.034217
7.77,1.035265
7.78,1.036209
7.79,1.03705
7.8,1.037787
7.81,1.03842
7.82,1.03895
7.83,1.039375
7.84,1.039697
7.85,1.039915
7.86,1.040029
7.87,1.040039
7.88,1.039945
7.89,1.039747
7.9,1.039445
7.91,1.039039
7.92,1.038529
7.93,1.037915
7.94,1.037197
7.95,1.036375
7.96,1.03545
7.97,1.034421
7.98,1.033289
7.99,1.032053
8.0,1.030714
8.01,1.029271
8.02,1.027726
8.03,1.026077
8.04,1.024326
8.05,1.022472
8.06,1.020516
8.07,1.018458
8.08,1.016297
8.09,1.014035
8.1,1.011671
8.11,1.009205
8.12,1.006639
8.13,1.003971
8.14,1.001203
8.15,0.9983347
8.16,0.9953661
8.17,0.9922976
8.18,0.9891296
8.19,0.9858623
8.2,0.9824961
8.21,0.9790314
8.22,0.9754684
8.23,0.9718075
8.24,0.968049
8.25,0.9641934
8.26,0.960241
8.27,0.9561921
8.28,0.9520473
8.29,0.9478068
8.3,0.9434711
8.31,0.9390406
8.32,0.9345158
8.33,0.9298971
8.34,0.9251849
8.35,0.9203797
8.36,0.9154821
8.37,0.9104923
8.38,0.9054111
8.39,0.9002388
8.4,0.8949759
8.41,0.889623
8.42,0.8841807
8.43,0.8786493
8.44,0.8730296
8.45,0.867322
8.46,0.8615271
8.47,0.8556454
8.48,0.8496776
8.49,0.8436243
8.5,0.8374859
8.51,0.8312633
8.52,0.8249568
8.53,0.8185673
8.54,0.8120952
8.55,0.8055413
8.56,0.7989062
8.57,0.7921905
8.58,0.7853949
8.59,0.7785201
8.6,0.7715668
8.61,0.7645356
8.62,0.7574273
8.63,0.7502425
8.64,0.742982
8.65,0.7356465
8.66,0.7282366
8.67,0.7207532
8.68,0.713197
8.69,0.7055687
8.7,0.6978691
8.71,0.6900989
8.72,0.6822589
8.73,0.6743499
8.74,0.6663727
8.75,0.6583281
8.76,0.6502168
8.77,0.6420397
8.78,0.6337976
8.79,0.6254913
8.8,0.6171216
8.81,0.6086893
8.82,0.6001954
8.83,0.5916405
8.84,0.5830257
8.85,0.5743516
8.86,0.5656193
8.87,0.5568296
8.88,0.5479833
8.89,0.5390813
8.9,0.5301245
8.91,0.5211138
8.92,0.5120501
8.93,0.5029342
8.94,0.4937672
8.95,0.4845499
8.96,0.4752832
8.97,0.465968
8.98,0.4566054
8.99,0.4471961
9.0,0.4377411
9.01,0.4282415
9.02,0.4186981
9.03,0.4091118
9.04,0.3994837
9.05,0.3898146
9.06,0.3801057
9.07,0.3703577
9.08,0.3605717
9.09,0.3507487
9.1,0.3408897
9.11,0.3309955
9.12,0.3210673
9.13,0.311106
9.14,0.3011125
9.15,0.291088
9.16,0.2810333
9.17,0.2709496
9.18,0.2608377
9.19,0.2506988
9.2,0.2405337
9.21,0.2303436
9.22,0.2201294
9.23,0.2098922
9.24,0.199633
9.25,0.1893528
9.26,0.1790527
9.27,0.1687336
9.28,0.1583965
9.29,0.1480427
9.3,0.137673
9.31,0.1272884
9.32,0.1168901
9.33,0.1064791
9.34,0.09605642
9.35,0.08562306
9.36,0.0751801
9.37,0.06472858
9.38,0.05426954
9.39,0.04380403
9.4,0.03333309
9.41,0.02285777
9.42,0.01237912
9.43,0.00189818
9.44,-0.008583997
9.45,-0.01906636
9.46,-0.02954787
9.47,-0.04002747
9.48,-0.05050412
9.49,-0.06097676
9.5,-0.07144436
9.51,-0.08190585
9.52,-0.0923602
9.53,-0.1028064
9.54,-0.1132433
9.55,-0.1236699
9.56,-0.1340853
9.57,-0.1444882
9.58,-0.1548778
9.59,-0.1652529
9.6,-0.1756125
9.61,-0.1859555
9.62,-0.1962811
9.63,-0.206588
9.64,-0.2168753
9.65,-0.2271419
9.66,-0.2373869
9.67,-0.2476091
9.68,-0.2578076
9.69,-0.2679814
9.7,-0.2781293
9.71,-0.2882505
9.72,-0.2983438
9.73,-0.3084084
9.74,-0.3184431
9.75,-0.3284469
9.76,-0.3384189
9.77,-0.3483581
9.78,-0.3582634
9.79,-0.3681339
9.8,-0.3779685
9.81,-0.3877664
9.82,-0.3975264
9.83,-0.4072477
9.84,-0.4169292
9.85,-0.42657
9.86,-0.4361691
9.87,-0.4457256
9.88,-0.4552384
9.89,-0.4647067
9.9,-0.4741294
9.91,-0.4835057
9.92,-0.4928345
9.93,-0.502115
9.94,-0.5113462
9.95,-0.5205273
9.96,-0.5296571
9.97,-0.538735
9.98,-0.5477598
9.99,-0.5567308
10.0,-0.565647
10.01,-0.5745075
10.02,-0.5833115
10.03,-0.592058
10.04,-0.6007462
10.05,-0.6093752
10.06,-0.6179441
10.07,-0.6264521
10.08,-0.6348983
10.09,-0.6432818
10.1,-0.6516019
10.11,-0.6598576
10.12,-0.6680482
10.13,-0.6761727
10.14,-0.6842305
10.15,-0.6922207
10.16,-0.7001424
10.17,-0.7079949
10.18,-0.7157774
10.19,-0.7234891
10.2,-0.7311292
10.21,-0.738697
10.22,-0.7461917
10.23,-0.7536125
10.24,-0.7609587
10.25,-0.7682295
10.26,-0.7754242
10.27,-0.7825421
10.28,-0.7895824
10.29,-0.7965446
10.3,-0.8034277
10.31,-0.8102312
10.32,-0.8169543
10.33,-0.8235965
10.34,-0.8301569
10.35,-0.836635
10.36,-0.84303
10.37,-0.8493414
10.38,-0.8555685
10.39,-0.8617107
10.4,-0.8677673
10.41,-0.8737377
10.42,-0.8796214
10.43,-0.8854177
10.44,-0.891126
10.45,-0.8967458
10.46,-0.9022765
10.47,-0.9077175
10.48,-0.9130683
10.49,-0.9183283
10.5,-0.923497
10.51,-0.9285738
10.52,-0.9335583
10.53,-0.93845
10.54,-0.9432483
10.55,-0.9479528
10.56,-0.9525629
10.57,-0.9570783
