"time{s}","Gain\output"
26.5000000000001,3.58000296207125
26.6000000000001,3.68735928953873
26.7000000000001,3.7589155873855
26.8000000000001,3.79359829233688
26.9000000000001,3.7906918414144
27.0000000000001,3.74984940756856
27.1000000000001,3.67110005530857
27.2000000000001,3.5548522089729
27.3000000000001,3.40189336208414
27.4000000000001,3.21338599310565
27.5000000000001,2.99085969050632
27.6000000000001,2.73619952797593
27.7000000000001,2.45163076854048
27.8000000000001,2.13970001382527
27.9000000000001,1.80325295142466
28.0000000000001,1.44540888888579
28.1000000000001,1.06953229683268
28.2000000000001,0.679201615890707
28.3000000000001,0.278175611980409
28.4000000000001,-0.129642408088796
28.5000000000001,-0.540242184277805
28.6000000000001,-0.949545536385926
28.7000000000001,-1.35344646665127
28.8000000000001,-1.74785194155275
28.9000000000001,-2.12872295178772
29.0000000000001,-2.49211544260717
29.1000000000001,-2.83422070390873
29.2000000000001,-3.15140481078423
29.3000000000001,-3.44024671062063
29.4000000000001,-3.6975745623492
29.5000000000001,-3.92049994697156
29.6000000000002,-4.10644958597043
29.7000000000002,-4.25319422549958
29.8000000000002,-4.35887436916902
29.9000000000002,-4.42202257058347
30.0000000000002,-4.44158202830624
30.1000000000002,-4.41692126032316
30.2000000000002,-4.34784467205703
30.3000000000002,-4.23459887118766
30.4000000000002,-4.07787462359772
30.5000000000002,-3.8788043872959
30.6000000000002,-3.63895540475811
30.7000000000002,-3.36031837834736
30.8000000000002,-3.04529179788903
30.9000000000002,-2.69666203364722
31.0000000000002,-2.31757935142653
31.1000000000002,-1.91153004886936
31.2000000000002,-1.48230495279793
31.3000000000002,-1.0339645562378
31.4000000000002,-0.570801110149693
31.5000000000002,-0.0972980184992081
31.6000000000002,0.381913084252773
31.7000000000002,0.862097167189747
31.8000000000002,1.33846211928419
31.9000000000002,1.80620609970674
32.0000000000002,2.26056545893645
32.1000000000002,2.69686275716909
32.2000000000002,3.11055440081236
32.3000000000002,3.49727741688394
32.4000000000002,3.8528948889474
32.5000000000002,4.17353958684202
32.6000000000002,4.45565533584717
32.7000000000002,4.6960356889839
32.8000000000002,4.89185948876215
32.9000000000002,5.04072293165057
33.0000000000002,5.14066777965136
33.1000000000002,5.19020539833565
33.2000000000002,5.18833633922342
33.3000000000002,5.13456522612784
33.4000000000002,5.02891074964003
33.5000000000002,4.87191062089093
33.6000000000002,4.66462138464544
33.7000000000002,4.40861304219103
33.8000000000002,4.10595848589018
33.9000000000002,3.75921779916741
34.0000000000002,3.37141752758574
34.1000000000002,2.94602507801239
34.2000000000002,2.48691845316319
34.3000000000002,1.99835157753386
34.4000000000002,1.48491551737291
34.5000000000002,0.95149594143661
34.6000000000002,0.403227210326584
34.7000000000002,-0.154556480197807
34.8000000000002,-0.716372442825464
34.9000000000002,-1.27664284065114
35.0000000000002,-1.82974951404857
35.1000000000002,-2.37008975903948
35.2000000000002,-2.89213250888991
35.3000000000002,-3.39047436114994
35.4000000000002,-3.85989488832108
35.5000000000002,-4.29541067188071
35.6000000000002,-4.69232750655713
35.7000000000002,-5.04629023451475
35.8000000000002,-5.35332968740679
35.9000000000002,-5.60990623795369
36.0000000000002,-5.81294949162652
36.1000000000002,-5.95989368291981
36.2000000000002,-6.04870837929684
36.3000000000002,-6.07792413884467
36.4000000000002,-6.04665281459953
36.5000000000002,-5.95460224896595
36.6000000000003,-5.80208515518637
36.7000000000003,-5.59002203891712
36.8000000000003,-5.31993807109602
36.9000000000003,-4.99395388288574
37.0000000000003,-4.61477031396451
37.1000000000003,-4.18564720621442
37.2000000000003,-3.71037639532468
37.3000000000003,-3.1932491123728
37.4000000000003,-2.63901806546767
37.5000000000003,-2.05285452743881
37.6000000000003,-1.44030080875528
37.7000000000003,-0.807218544797353
37.8000000000003,-0.159733272751879
37.9000000000003,0.495824184741569
38.0000000000003,1.15297897496254
38.1000000000003,1.80517552333609
38.2000000000003,2.44584228196001
38.3000000000003,3.06845728535058
38.4000000000003,3.66661386592154
38.5000000000003,4.234085873639
38.6000000000003,4.76489174269725
38.7000000000003,5.2533567530191
38.8000000000003,5.69417284591398
38.9000000000003,6.08245537127867
39.0000000000003,6.41379616818422
39.1000000000003,6.68431241137699
39.2000000000003,6.89069069288791
39.3000000000003,7.03022585028506
39.4000000000003,7.10085410075333
39.5000000000003,7.10118009271875
39.6000000000003,7.03049754367664
39.7000000000003,6.88880319370734
39.8000000000003,6.67680386830128
39.9000000000003,6.39591651095814
40,6.04826111493302
